blocks	 f	x64		00000	00915	2.1000	 2.7413 
 blocks	 f	x64		00001	00915	2.0770	 2.7113 
 blocks	 f	x64		00002	00915	2.0810	 2.7165 
 blocks	 f	x64		00003	00915	2.0750	 2.7087 
 blocks	 f	x64		00004	00915	2.0770	 2.7113 
 blocks	 f	x64		00005	00915	2.0790	 2.7139 
 blocks	 f	x64		00006	00915	2.0760	 2.7100 
 blocks	 f	x64		00007	00915	2.0800	 2.7152 
 blocks	 f	x64		00008	00915	2.0810	 2.7165 
 blocks	 f	x64		00009	00915	2.0870	 2.7243 
 blocks	 d	x64		00000	00440	0.2330	 2.7353 
 blocks	 d	x64		00001	00440	0.2330	 2.7353 
 blocks	 d	x64		00002	00440	0.2320	 2.7235 
 blocks	 d	x64		00003	00440	0.2350	 2.7587 
 blocks	 d	x64		00004	00440	0.2320	 2.7235 
 blocks	 d	x64		00005	00440	0.2370	 2.7822 
 blocks	 d	x64		00006	00440	0.2330	 2.7353 
 blocks	 d	x64		00007	00440	0.2360	 2.7705 
 blocks	 d	x64		00008	00440	0.2330	 2.7353 
 blocks	 d	x64		00009	00440	0.2330	 2.7353 
 blocks	 d	x64		00010	00440	0.2340	 2.7470 
 blocks	 d	x64		00011	00440	0.2360	 2.7705 
 blocks	 d	x64		00012	00440	0.2330	 2.7353 
 blocks	 d	x64		00013	00440	0.2360	 2.7705 
 blocks	 d	x64		00014	00440	0.2330	 2.7353 
 blocks	 d	x64		00000	00170	0.0150	 3.0531 
 blocks	 d	x64		00001	00170	0.0140	 2.8496 
 blocks	 d	x64		00002	00170	0.0140	 2.8496 
 blocks	 d	x64		00003	00170	0.0140	 2.8496 
 blocks	 d	x64		00004	00170	0.0140	 2.8496 
 blocks	 d	x64		00005	00170	0.0140	 2.8496 
 blocks	 d	x64		00006	00170	0.0140	 2.8496 
 blocks	 d	x64		00007	00170	0.0130	 2.6460 
 blocks	 d	x64		00008	00170	0.0130	 2.6460 
 blocks	 d	x64		00009	00170	0.0130	 2.6460 
 blocks	 d	x64		00010	00170	0.0130	 2.6460 
 blocks	 d	x64		00011	00170	0.0140	 2.8496 
 blocks	 d	x64		00012	00170	0.0140	 2.8496 
 blocks	 d	x64		00013	00170	0.0150	 3.0531 
 blocks	 d	x64		00014	00170	0.0140	 2.8496 
 blocks	 d	x64		00000	00915	2.1410	 2.7948 
 blocks	 d	x64		00001	00915	2.1380	 2.7909 
 blocks	 d	x64		00002	00915	2.1410	 2.7948 
 blocks	 d	x64		00003	00915	2.1480	 2.8040 
 blocks	 d	x64		00004	00915	2.1380	 2.7909 
 blocks	 d	x64		00005	00915	2.1440	 2.7987 
 blocks	 d	x64		00006	00915	2.1480	 2.8040 
 blocks	 d	x64		00007	00915	2.1450	 2.8000 
 blocks	 d	x64		00008	00915	2.1440	 2.7987 
 blocks	 d	x64		00009	00915	2.1460	 2.8013 
 blocks	 f	x86		00000	00440	0.2330	 2.7353 
 blocks	 f	x86		00001	00440	0.2320	 2.7235 
 blocks	 f	x86		00002	00440	0.2330	 2.7353 
 blocks	 f	x86		00003	00440	0.2310	 2.7118 
 blocks	 f	x86		00004	00440	0.2330	 2.7353 
 blocks	 f	x86		00005	00440	0.2310	 2.7118 
 blocks	 f	x86		00006	00440	0.2310	 2.7118 
 blocks	 f	x86		00007	00440	0.2310	 2.7118 
 blocks	 f	x86		00008	00440	0.2310	 2.7118 
 blocks	 f	x86		00009	00440	0.2310	 2.7118 
 blocks	 f	x86		00010	00440	0.2310	 2.7118 
 blocks	 f	x86		00011	00440	0.2310	 2.7118 
