blocks	 f	x64		00000	00915	1.4560	 1.9006 
 blocks	 f	x64		00001	00915	1.4500	 1.8928 
 blocks	 f	x64		00002	00915	1.4520	 1.8954 
 blocks	 f	x64		00003	00915	1.4540	 1.8980 
 blocks	 f	x64		00004	00915	1.4480	 1.8902 
 blocks	 f	x64		00005	00915	1.4460	 1.8876 
 blocks	 f	x64		00006	00915	1.4450	 1.8863 
 blocks	 f	x64		00007	00915	1.4520	 1.8954 
 blocks	 f	x64		00008	00915	1.4490	 1.8915 
 blocks	 f	x64		00009	00915	1.4470	 1.8889 
 blocks	 d	x64		00000	00440	0.1630	 1.9135 
 blocks	 d	x64		00001	00440	0.1630	 1.9135 
 blocks	 d	x64		00002	00440	0.1640	 1.9252 
 blocks	 d	x64		00003	00440	0.1630	 1.9135 
 blocks	 d	x64		00004	00440	0.1640	 1.9252 
 blocks	 d	x64		00005	00440	0.1630	 1.9135 
 blocks	 d	x64		00006	00440	0.1630	 1.9135 
 blocks	 d	x64		00007	00440	0.1640	 1.9252 
 blocks	 d	x64		00008	00440	0.1640	 1.9252 
 blocks	 d	x64		00009	00440	0.1640	 1.9252 
 blocks	 d	x64		00010	00440	0.1640	 1.9252 
 blocks	 d	x64		00011	00440	0.1640	 1.9252 
 blocks	 d	x64		00012	00440	0.1630	 1.9135 
 blocks	 d	x64		00013	00440	0.1640	 1.9252 
 blocks	 d	x64		00014	00440	0.1630	 1.9135 
 blocks	 d	x64		00000	00170	0.0100	 2.0354 
 blocks	 d	x64		00001	00170	0.0090	 1.8319 
 blocks	 d	x64		00002	00170	0.0100	 2.0354 
 blocks	 d	x64		00003	00170	0.0100	 2.0354 
 blocks	 d	x64		00004	00170	0.0090	 1.8319 
 blocks	 d	x64		00005	00170	0.0100	 2.0354 
 blocks	 d	x64		00006	00170	0.0090	 1.8319 
 blocks	 d	x64		00007	00170	0.0090	 1.8319 
 blocks	 d	x64		00008	00170	0.0100	 2.0354 
 blocks	 d	x64		00009	00170	0.0090	 1.8319 
 blocks	 d	x64		00010	00170	0.0100	 2.0354 
 blocks	 d	x64		00011	00170	0.0100	 2.0354 
 blocks	 d	x64		00012	00170	0.0100	 2.0354 
